U+18afc	𘫼	TANGUT COMPONENT-765	None
U+18afd	𘫽	TANGUT COMPONENT-766	None
U+18afe	𘫾	TANGUT COMPONENT-767	None
U+18aff	𘫿	TANGUT COMPONENT-768	None
U+18b00	𘬀	KHITAN SMALL SCRIPT CHARACTER-18B00	None
U+18b01	𘬁	KHITAN SMALL SCRIPT CHARACTER-18B01	None
U+18b02	𘬂	KHITAN SMALL SCRIPT CHARACTER-18B02	None
U+18b03	𘬃	KHITAN SMALL SCRIPT CHARACTER-18B03	None
U+18b04	𘬄	KHITAN SMALL SCRIPT CHARACTER-18B04	None
U+18b05	𘬅	KHITAN SMALL SCRIPT CHARACTER-18B05	None
U+18b06	𘬆	KHITAN SMALL SCRIPT CHARACTER-18B06	None
U+18b07	𘬇	KHITAN SMALL SCRIPT CHARACTER-18B07	None
U+18b08	𘬈	KHITAN SMALL SCRIPT CHARACTER-18B08	None
U+18b09	𘬉	KHITAN SMALL SCRIPT CHARACTER-18B09	None
U+18b0a	𘬊	KHITAN SMALL SCRIPT CHARACTER-18B0A	None
U+18b0b	𘬋	KHITAN SMALL SCRIPT CHARACTER-18B0B	None
U+18b0c	𘬌	KHITAN SMALL SCRIPT CHARACTER-18B0C	None
U+18b0d	𘬍	KHITAN SMALL SCRIPT CHARACTER-18B0D	None
U+18b0e	𘬎	KHITAN SMALL SCRIPT CHARACTER-18B0E	None
U+18b0f	𘬏	KHITAN SMALL SCRIPT CHARACTER-18B0F	None
U+18b10	𘬐	KHITAN SMALL SCRIPT CHARACTER-18B10	None
U+18b11	𘬑	KHITAN SMALL SCRIPT CHARACTER-18B11	None
U+18b12	𘬒	KHITAN SMALL SCRIPT CHARACTER-18B12	None
U+18b13	𘬓	KHITAN SMALL SCRIPT CHARACTER-18B13	None
U+18b14	𘬔	KHITAN SMALL SCRIPT CHARACTER-18B14	None
U+18b15	𘬕	KHITAN SMALL SCRIPT CHARACTER-18B15	None
U+18b16	𘬖	KHITAN SMALL SCRIPT CHARACTER-18B16	None
U+18b17	𘬗	KHITAN SMALL SCRIPT CHARACTER-18B17	None
U+18b18	𘬘	KHITAN SMALL SCRIPT CHARACTER-18B18	None
U+18b19	𘬙	KHITAN SMALL SCRIPT CHARACTER-18B19	None
U+18b1a	𘬚	KHITAN SMALL SCRIPT CHARACTER-18B1A	None
U+18b1b	𘬛	KHITAN SMALL SCRIPT CHARACTER-18B1B	None
U+18b1c	𘬜	KHITAN SMALL SCRIPT CHARACTER-18B1C	None
U+18b1d	𘬝	KHITAN SMALL SCRIPT CHARACTER-18B1D	None
U+18b1e	𘬞	KHITAN SMALL SCRIPT CHARACTER-18B1E	None
U+18b1f	𘬟	KHITAN SMALL SCRIPT CHARACTER-18B1F	None
U+18b20	𘬠	KHITAN SMALL SCRIPT CHARACTER-18B20	None
U+18b21	𘬡	KHITAN SMALL SCRIPT CHARACTER-18B21	None
U+18b22	𘬢	KHITAN SMALL SCRIPT CHARACTER-18B22	None
U+18b23	𘬣	KHITAN SMALL SCRIPT CHARACTER-18B23	None
U+18b24	𘬤	KHITAN SMALL SCRIPT CHARACTER-18B24	None
U+18b25	𘬥	KHITAN SMALL SCRIPT CHARACTER-18B25	None
U+18b26	𘬦	KHITAN SMALL SCRIPT CHARACTER-18B26	None
U+18b27	𘬧	KHITAN SMALL SCRIPT CHARACTER-18B27	None
U+18b28	𘬨	KHITAN SMALL SCRIPT CHARACTER-18B28	None
U+18b29	𘬩	KHITAN SMALL SCRIPT CHARACTER-18B29	None
U+18b2a	𘬪	KHITAN SMALL SCRIPT CHARACTER-18B2A	None
U+18b2b	𘬫	KHITAN SMALL SCRIPT CHARACTER-18B2B	None
U+18b2c	𘬬	KHITAN SMALL SCRIPT CHARACTER-18B2C	None
U+18b2d	𘬭	KHITAN SMALL SCRIPT CHARACTER-18B2D	None
U+18b2e	𘬮	KHITAN SMALL SCRIPT CHARACTER-18B2E	None
U+18b2f	𘬯	KHITAN SMALL SCRIPT CHARACTER-18B2F	None
U+18b30	𘬰	KHITAN SMALL SCRIPT CHARACTER-18B30	None
U+18b31	𘬱	KHITAN SMALL SCRIPT CHARACTER-18B31	None
U+18b32	𘬲	KHITAN SMALL SCRIPT CHARACTER-18B32	None
U+18b33	𘬳	KHITAN SMALL SCRIPT CHARACTER-18B33	None
U+18b34	𘬴	KHITAN SMALL SCRIPT CHARACTER-18B34	None
U+18b35	𘬵	KHITAN SMALL SCRIPT CHARACTER-18B35	None
U+18b36	𘬶	KHITAN SMALL SCRIPT CHARACTER-18B36	None
U+18b37	𘬷	KHITAN SMALL SCRIPT CHARACTER-18B37	None
U+18b38	𘬸	KHITAN SMALL SCRIPT CHARACTER-18B38	None
U+18b39	𘬹	KHITAN SMALL SCRIPT CHARACTER-18B39	None
U+18b3a	𘬺	KHITAN SMALL SCRIPT CHARACTER-18B3A	None
U+18b3b	𘬻	KHITAN SMALL SCRIPT CHARACTER-18B3B	None
U+18b3c	𘬼	KHITAN SMALL SCRIPT CHARACTER-18B3C	None
U+18b3d	𘬽	KHITAN SMALL SCRIPT CHARACTER-18B3D	None
U+18b3e	𘬾	KHITAN SMALL SCRIPT CHARACTER-18B3E	None
U+18b3f	𘬿	KHITAN SMALL SCRIPT CHARACTER-18B3F	None
U+18b40	𘭀	KHITAN SMALL SCRIPT CHARACTER-18B40	None
U+18b41	𘭁	KHITAN SMALL SCRIPT CHARACTER-18B41	None
U+18b42	𘭂	KHITAN SMALL SCRIPT CHARACTER-18B42	None
U+18b43	𘭃	KHITAN SMALL SCRIPT CHARACTER-18B43	None
U+18b44	𘭄	KHITAN SMALL SCRIPT CHARACTER-18B44	None
U+18b45	𘭅	KHITAN SMALL SCRIPT CHARACTER-18B45	None
U+18b46	𘭆	KHITAN SMALL SCRIPT CHARACTER-18B46	None
U+18b47	𘭇	KHITAN SMALL SCRIPT CHARACTER-18B47	None
U+18b48	𘭈	KHITAN SMALL SCRIPT CHARACTER-18B48	None
U+18b49	𘭉	KHITAN SMALL SCRIPT CHARACTER-18B49	None
U+18b4a	𘭊	KHITAN SMALL SCRIPT CHARACTER-18B4A	None
U+18b4b	𘭋	KHITAN SMALL SCRIPT CHARACTER-18B4B	None
U+18b4c	𘭌	KHITAN SMALL SCRIPT CHARACTER-18B4C	None
U+18b4d	𘭍	KHITAN SMALL SCRIPT CHARACTER-18B4D	None
U+18b4e	𘭎	KHITAN SMALL SCRIPT CHARACTER-18B4E	None
U+18b4f	𘭏	KHITAN SMALL SCRIPT CHARACTER-18B4F	None
U+18b50	𘭐	KHITAN SMALL SCRIPT CHARACTER-18B50	None
U+18b51	𘭑	KHITAN SMALL SCRIPT CHARACTER-18B51	None
U+18b52	𘭒	KHITAN SMALL SCRIPT CHARACTER-18B52	None
U+18b53	𘭓	KHITAN SMALL SCRIPT CHARACTER-18B53	None
U+18b54	𘭔	KHITAN SMALL SCRIPT CHARACTER-18B54	None
U+18b55	𘭕	KHITAN SMALL SCRIPT CHARACTER-18B55	None
U+18b56	𘭖	KHITAN SMALL SCRIPT CHARACTER-18B56	None
U+18b57	𘭗	KHITAN SMALL SCRIPT CHARACTER-18B57	None
U+18b58	𘭘	KHITAN SMALL SCRIPT CHARACTER-18B58	None
U+18b59	𘭙	KHITAN SMALL SCRIPT CHARACTER-18B59	None
U+18b5a	𘭚	KHITAN SMALL SCRIPT CHARACTER-18B5A	None
U+18b5b	𘭛	KHITAN SMALL SCRIPT CHARACTER-18B5B	None
U+18b5c	𘭜	KHITAN SMALL SCRIPT CHARACTER-18B5C	None
U+18b5d	𘭝	KHITAN SMALL SCRIPT CHARACTER-18B5D	None
U+18b5e	𘭞	KHITAN SMALL SCRIPT CHARACTER-18B5E	None
U+18b5f	𘭟	KHITAN SMALL SCRIPT CHARACTER-18B5F	None
U+18b60	𘭠	KHITAN SMALL SCRIPT CHARACTER-18B60	None
U+18b61	𘭡	KHITAN SMALL SCRIPT CHARACTER-18B61	None
U+18b62	𘭢	KHITAN SMALL SCRIPT CHARACTER-18B62	None
U+18b63	𘭣	KHITAN SMALL SCRIPT CHARACTER-18B63	None
U+18b64	𘭤	KHITAN SMALL SCRIPT CHARACTER-18B64	None
U+18b65	𘭥	KHITAN SMALL SCRIPT CHARACTER-18B65	None
U+18b66	𘭦	KHITAN SMALL SCRIPT CHARACTER-18B66	None
U+18b67	𘭧	KHITAN SMALL SCRIPT CHARACTER-18B67	None
U+18b68	𘭨	KHITAN SMALL SCRIPT CHARACTER-18B68	None
U+18b69	𘭩	KHITAN SMALL SCRIPT CHARACTER-18B69	None
U+18b6a	𘭪	KHITAN SMALL SCRIPT CHARACTER-18B6A	None
U+18b6b	𘭫	KHITAN SMALL SCRIPT CHARACTER-18B6B	None
U+18b6c	𘭬	KHITAN SMALL SCRIPT CHARACTER-18B6C	None
